"artist","avg_gross"
"Taylor Swift","381518786.50000000"
"Beyoncé","354994852.00000000"
"Celine Dion","280000000.00000000"
"Pink","279633333.33333333"
"Madonna","269989590.75000000"
"Katy Perry","204000000.00000000"
"Cher","200000000.00000000"
"Lady Gaga","198700000.00000000"
"Adele","167700000.000000000000"
